Sub-District Name,Village Code,Village Name English,Village Name Local,Village Status
Ahmadpur,944217,Ahmadpur,अहमदपूर,Inhabitant
Ahmadpur,560390,Ajani Kh,अजनी खुर्द,Inhabitant
Ahmadpur,560392,Ambegaon,आंबेगाव,Inhabitant
Ahmadpur,560447,Anandwadi,आनंदवाडी,Inhabitant
Ahmadpur,560416,Andori,अंदोरी,Inhabitant
Ahmadpur,560418,Ashta,आष्टा,Inhabitant
Ahmadpur,560424,Babhalgaon,बाभळगाव,Inhabitant
Ahmadpur,560455,Balgavhan,बालगव्हाण,Inhabitant
Ahmadpur,560454,Bhopala,भोपळा,Inhabitant
Ahmadpur,560441,Bhutmugli,भूतमुगळी,Inhabitant
Ahmadpur,560453,Bori,बोरी,Inhabitant
Ahmadpur,560411,Chalatpur,चलतपूर,Inhabitant
Ahmadpur,560431,Chandoji,चांदोजी,Inhabitant
Ahmadpur,560389,Chichondi,चिंचोंडी,Inhabitant
Ahmadpur,560412,Chikhali,चिखली,Inhabitant
Ahmadpur,560435,Chobali,चोभळी,Inhabitant
Ahmadpur,560394,Dahibhatewadi,दहीभातेवाडी,Inhabitant
Ahmadpur,560458,Dallawadi,दल्लावाडी,Inhabitant
Ahmadpur,560450,Daradwadi,दरडवाडी,Inhabitant
Ahmadpur,560398,Dhalegaon,धालेगाव,Inhabitant
Ahmadpur,560408,Dhanyachiwadi,धान्याचीवाडी,Inhabitant
Ahmadpur,560436,Dhavalwadi,धवलवाडी,Inhabitant
Ahmadpur,560445,Dongar शेळकी,डोंगर शेळकी,Inhabitant
Ahmadpur,560426,Gadwad,गाढवड,Inhabitant
Ahmadpur,560407,Ganeshवाडी,गणेशवाडी,Inhabitant
Ahmadpur,560415,Ganjur,गांजूर,Inhabitant
Ahmadpur,560413,Gavhan,गव्हाण,Inhabitant
Ahmadpur,560403,Ghadari,घडरी,Inhabitant
Ahmadpur,560425,Gharani,घरणी,Inhabitant
Ahmadpur,560432,Govindwadi,गोविंदवाडी,Inhabitant
Ahmadpur,560423,Gugdal,गुगदळ,Inhabitant
Ahmadpur,560429,Hagadal,हागदळ,Inhabitant
Ahmadpur,560442,Hadga,हादगा,Inhabitant
Ahmadpur,560402,Hanamantwadi,हनमंतवाडी,Inhabitant
Ahmadpur,560417,Hipperga,हिप्परगा,Inhabitant
Ahmadpur,560401,Injewadi,इंजेवाडी,Inhabitant
Ahmadpur,560439,Jamb,जांब,Inhabitant
Ahmadpur,560459,Kajala,काजळा,Inhabitant
Ahmadpur,560448,Kakandi,काकंदी,Inhabitant
Ahmadpur,560414,Kalamnuri,कळमनुरी,Inhabitant
Ahmadpur,560427,Kale Wadi,काळेवाडी,Inhabitant
Ahmadpur,560404,Kandgavan,कंदगव्हान,Inhabitant
Ahmadpur,560395,Kavalwadi,कवळवाडी,Inhabitant
Ahmadpur,560433,Kendre Wadi,केंद्रेवाडी,Inhabitant
Ahmadpur,560397,Khadaki,खडकी,Inhabitant
Ahmadpur,560456,Khandali,खांडळी,Inhabitant
Ahmadpur,560393,Kharabwadi,खराबवाडी,Inhabitant
Ahmadpur,560430,Kinikadu,किनीकडू,Inhabitant
Ahmadpur,560405,Kiniwat,किनीवाट,Inhabitant
Ahmadpur,560428,Kokanga,कोकणगा,Inhabitant
Ahmadpur,560440,Kopra,कोपरा,Inhabitant
Ahmadpur,560437,Kumartha,कुमठा,Inhabitant
Ahmadpur,560419,Lingadhall,लिंगाधळ,Inhabitant
Ahmadpur,560451,Mahadevadi,महादेवाचेवाडी,Inhabitant
Ahmadpur,560444,Majra sh.,मांजरा शेळकी,Inhabitant
Ahmadpur,560434,Malkapur,मल्कापूर,Inhabitant
Ahmadpur,560420,Mandva,मांडवा,Inhabitant
Ahmadpur,560399,Mhasawadi,म्हसावाडी,Inhabitant
Ahmadpur,560449,Morewadi,मोरेवाडी,Inhabitant
Ahmadpur,560446,Motegaon,मोटेगाव,Inhabitant
Ahmadpur,560391,Mulki,मुळकी,Inhabitant
Ahmadpur,560438,Nandura Kh.,नांदुरा खुर्द,Inhabitant
Ahmadpur,560409,Palam,पाम,Inhabitant
Ahmadpur,560422,Pangri,पांगरी,Inhabitant
Ahmadpur,560406,Parachakadi,परचकडी,Inhabitant
Ahmadpur,560410,Phulwadi,फुलवाडी,Inhabitant
Ahmadpur,560457,Rui,रुई,Inhabitant
Ahmadpur,560396,Sangvi,सांगवी,Inhabitant
Ahmadpur,560452,Savargaon,सावरगाव,Inhabitant
Ahmadpur,560421,Sayyadpur,सय्यदपूर,Inhabitant
Ahmadpur,560400,Shinal,शिनळ,Inhabitant
Ahmadpur,560443,Shirur T.,शिरूर तांबड,Inhabitant
Ahmadpur,560460,Sona,सोना,Inhabitant
Ahmadpur,560461,Sukani,सुकाणी,Inhabitant
Ahmadpur,560462,Tembhurni,टेंभुर्णी,Inhabitant
Ahmadpur,560463,Thodga,थोडगा,Inhabitant
Ahmadpur,560464,Tirthwadi,तीर्थवाडी,Inhabitant
Ahmadpur,560465,Ujani,उजनी,Inhabitant
Ahmadpur,560466,Vaiti,वैती,Inhabitant
Ahmadpur,560467,Waddawadi,वड्डावाडी,Inhabitant
Ahmadpur,560468,Wagdari,वागदरी,Inhabitant
Ahmadpur,560469,Waki,वाकी,Inhabitant
Ausa,560731,Alala,आलाला,Inhabitant
Ausa,560732,Alni,आळणी,Inhabitant
Ausa,560733,Ambanagar,अंबानगर,Inhabitant
Ausa,560734,Andora,अंदोरा,Inhabitant
Ausa,560735,Apchand,आपचंद,Inhabitant
Ausa,560736,Ashiv,आशिव,Inhabitant
Ausa,944218,Ausa,औसा,Inhabitant
Ausa,560737,Badji,बद्जी,Inhabitant
Ausa,560738,Belkund,बेलकुंड,Inhabitant
Ausa,560739,Bhadgaon,भादगाव,Inhabitant
Ausa,560740,Bhiwoli,भिवोळी,Inhabitant
Ausa,560741,Bhoki,भोकी,Inhabitant
Ausa,560742,Bolar,बोरार,Inhabitant
Ausa,560743,Borgaon,बोरगाव,Inhabitant
Ausa,560744,Budhoda,बुधोडा,Inhabitant
Ausa,560745,Chalkha,चाळका,Inhabitant
Ausa,560746,Chincholi,चिंचोली,Inhabitant
Ausa,560747,Chikli,चिखली,Inhabitant
Ausa,560748,Chincholi S.,चिंचोली सो.,Inhabitant
Ausa,560749,Dapegaon,दापेगाव,Inhabitant
Ausa,560750,Deogopalवाडी,देवगोपाळवाडी,Inhabitant
Ausa,560751,Dhanoori,धानुरी,Inhabitant
Ausa,560752,Duttawadi,दत्तावाडी,Inhabitant
Ausa,560753,Eksurga,एकसुर्गा,Inhabitant
Ausa,560754,Fattepur,फत्तेपूर,Inhabitant
Ausa,560755,Gadhada,गाढवडा,Inhabitant
